Algoritmo,N,TipoEntrada,TempoMedio_ms
Bubble Sort,100,Aleatorio,0.010000
Insertion Sort,100,Aleatorio,0.010000
Selection Sort,100,Aleatorio,0.010000
Quick Sort,100,Aleatorio,0.000000
Merge Sort,100,Aleatorio,0.000000
Bubble Sort,100,Ordenado,0.000000
Insertion Sort,100,Ordenado,0.010000
Selection Sort,100,Ordenado,0.010000
Quick Sort,100,Ordenado,0.010000
Merge Sort,100,Ordenado,0.000000
Bubble Sort,100,Invertido,0.020000
Insertion Sort,100,Invertido,0.000000
Selection Sort,100,Invertido,0.020000
Quick Sort,100,Invertido,0.010000
Merge Sort,100,Invertido,0.010000
Bubble Sort,1000,Aleatorio,1.160000
Insertion Sort,1000,Aleatorio,0.300000
Selection Sort,1000,Aleatorio,1.820000
Quick Sort,1000,Aleatorio,0.040000
Merge Sort,1000,Aleatorio,0.080000
Bubble Sort,1000,Ordenado,0.340000
Insertion Sort,1000,Ordenado,0.020000
Selection Sort,1000,Ordenado,2.660000
Quick Sort,1000,Ordenado,1.460000
Merge Sort,1000,Ordenado,0.080000
Bubble Sort,1000,Invertido,1.640000
Insertion Sort,1000,Invertido,0.700000
Selection Sort,1000,Invertido,1.800000
Quick Sort,1000,Invertido,0.940000
Merge Sort,1000,Invertido,0.080000
Bubble Sort,10000,Aleatorio,186.800000
Insertion Sort,10000,Aleatorio,41.900000
Selection Sort,10000,Aleatorio,181.100000
Quick Sort,10000,Aleatorio,0.800000
Merge Sort,10000,Aleatorio,1.300000
Bubble Sort,10000,Ordenado,44.200000
Insertion Sort,10000,Ordenado,0.000000
Selection Sort,10000,Ordenado,180.500000
Quick Sort,10000,Ordenado,185.000000
Merge Sort,10000,Ordenado,0.800000
Bubble Sort,10000,Invertido,184.300000
Insertion Sort,10000,Invertido,90.500000
Selection Sort,10000,Invertido,180.400000
Quick Sort,10000,Invertido,89.800000
Merge Sort,10000,Invertido,0.800000
