Algoritmo,N,TipoEntrada,Estrutura,TempoMedio_ms,ComparacoesMedia
Bubble Sort,100,Aleatorio,Dinamica,0.060000,8415
Bubble Sort,100,Aleatorio,Estatica,0.000000,4845
Selection Sort,100,Aleatorio,Dinamica,0.000000,4950
Selection Sort,100,Aleatorio,Estatica,0.040000,4950
Insertion Sort,100,Aleatorio,Dinamica,0.020000,2447
Insertion Sort,100,Aleatorio,Estatica,0.000000,2447
Quick Sort,100,Aleatorio,Dinamica,0.000000,689
Quick Sort,100,Aleatorio,Estatica,0.020000,689
Merge Sort,100,Aleatorio,Dinamica,0.060000,540
Merge Sort,100,Aleatorio,Estatica,0.020000,540
Bubble Sort,100,Ordenado,Dinamica,0.000000,99
Bubble Sort,100,Ordenado,Estatica,0.000000,99
Selection Sort,100,Ordenado,Dinamica,0.000000,4950
Selection Sort,100,Ordenado,Estatica,0.020000,4950
Insertion Sort,100,Ordenado,Dinamica,0.000000,99
Insertion Sort,100,Ordenado,Estatica,0.000000,99
Quick Sort,100,Ordenado,Dinamica,0.000000,669
Quick Sort,100,Ordenado,Estatica,0.040000,669
Merge Sort,100,Ordenado,Dinamica,0.020000,356
Merge Sort,100,Ordenado,Estatica,0.020000,356
Bubble Sort,100,Invertido,Dinamica,0.060000,9900
Bubble Sort,100,Invertido,Estatica,0.000000,4950
Selection Sort,100,Invertido,Dinamica,0.000000,4950
Selection Sort,100,Invertido,Estatica,0.020000,4950
Insertion Sort,100,Invertido,Dinamica,0.020000,4950
Insertion Sort,100,Invertido,Estatica,0.020000,4950
Quick Sort,100,Invertido,Dinamica,0.000000,868
Quick Sort,100,Invertido,Estatica,0.000000,868
Merge Sort,100,Invertido,Dinamica,0.020000,316
Merge Sort,100,Invertido,Estatica,0.020000,316
Bubble Sort,1000,Aleatorio,Dinamica,4.150000,968031
Bubble Sort,1000,Aleatorio,Estatica,2.800000,499035
Selection Sort,1000,Aleatorio,Dinamica,1.800000,499500
Selection Sort,1000,Aleatorio,Estatica,3.200000,499500
Insertion Sort,1000,Aleatorio,Dinamica,1.000000,247710
Insertion Sort,1000,Aleatorio,Estatica,0.500000,247710
Quick Sort,1000,Aleatorio,Dinamica,0.150000,10601
Quick Sort,1000,Aleatorio,Estatica,0.200000,10601
Merge Sort,1000,Aleatorio,Dinamica,0.200000,8702
Merge Sort,1000,Aleatorio,Estatica,0.350000,8702
Bubble Sort,1000,Ordenado,Dinamica,0.000000,999
Bubble Sort,1000,Ordenado,Estatica,0.000000,999
Selection Sort,1000,Ordenado,Dinamica,1.850000,499500
Selection Sort,1000,Ordenado,Estatica,2.950000,499500
Insertion Sort,1000,Ordenado,Dinamica,0.000000,999
Insertion Sort,1000,Ordenado,Estatica,0.000000,999
Quick Sort,1000,Ordenado,Dinamica,0.100000,9568
Quick Sort,1000,Ordenado,Estatica,0.000000,9568
Merge Sort,1000,Ordenado,Dinamica,0.400000,5044
Merge Sort,1000,Ordenado,Estatica,0.350000,5044
Bubble Sort,1000,Invertido,Dinamica,4.200000,999000
Bubble Sort,1000,Invertido,Estatica,2.650000,499500
Selection Sort,1000,Invertido,Dinamica,1.850000,499500
Selection Sort,1000,Invertido,Estatica,2.200000,499500
Insertion Sort,1000,Invertido,Dinamica,1.100000,499500
Insertion Sort,1000,Invertido,Estatica,1.100000,499500
Quick Sort,1000,Invertido,Dinamica,0.250000,15882
Quick Sort,1000,Invertido,Estatica,0.000000,15882
Merge Sort,1000,Invertido,Dinamica,0.300000,4943
Merge Sort,1000,Invertido,Estatica,0.150000,4943
Bubble Sort,10000,Aleatorio,Dinamica,717.800000,97930206
Bubble Sort,10000,Aleatorio,Estatica,388.600000,49973885
Selection Sort,10000,Aleatorio,Dinamica,290.800000,49995000
Selection Sort,10000,Aleatorio,Estatica,314.400000,49995000
Insertion Sort,10000,Aleatorio,Dinamica,64.800000,25093690
Insertion Sort,10000,Aleatorio,Estatica,63.000000,25093690
Quick Sort,10000,Aleatorio,Dinamica,1.200000,149294
Quick Sort,10000,Aleatorio,Estatica,1.200000,149294
Merge Sort,10000,Aleatorio,Dinamica,2.600000,120413
Merge Sort,10000,Aleatorio,Estatica,3.000000,120413
Bubble Sort,10000,Ordenado,Dinamica,0.000000,9999
Bubble Sort,10000,Ordenado,Estatica,0.200000,9999
Selection Sort,10000,Ordenado,Dinamica,289.400000,49995000
Selection Sort,10000,Ordenado,Estatica,306.200000,49995000
Insertion Sort,10000,Ordenado,Dinamica,0.400000,9999
Insertion Sort,10000,Ordenado,Estatica,0.600000,9999
Quick Sort,10000,Ordenado,Dinamica,1.200000,132135
Quick Sort,10000,Ordenado,Estatica,0.800000,132135
Merge Sort,10000,Ordenado,Dinamica,2.200000,69008
Merge Sort,10000,Ordenado,Estatica,2.200000,69008
Bubble Sort,10000,Invertido,Dinamica,599.000000,99990000
Bubble Sort,10000,Invertido,Estatica,256.400000,49995000
Selection Sort,10000,Invertido,Dinamica,298.600000,49995000
Selection Sort,10000,Invertido,Estatica,270.600000,49995000
Insertion Sort,10000,Invertido,Dinamica,129.800000,49994539
Insertion Sort,10000,Invertido,Estatica,127.400000,49994539
Quick Sort,10000,Invertido,Dinamica,1.200000,240566
Quick Sort,10000,Invertido,Estatica,1.000000,240566
Merge Sort,10000,Invertido,Dinamica,2.600000,66087
Merge Sort,10000,Invertido,Estatica,2.800000,66087
